xchg,stk,pred_edge_slope,px_slope,sz_slope,offset
CSE,A,-0.10334193585183772,-0.0992600938152236,-0.0033552244064803116,-10.858810693243154
CSE,B,-0.1017508545721187,0.02760632867697771,-0.009620389473335773,-18.783565024053072
CSE,C,-0.09503337820744498,0.11554770780814186,-0.0014133166295699912,-14.88506602830988
CSE,D,-0.10515137053270572,-0.0010887575692527752,-0.19205676770501504,-8.792193649993944
NYSE,A,-0.10163834698549506,0.4054967189150997,-0.0040434700548682145,-25.622829047150407
NYSE,B,-0.0908530121566956,-0.02779191034038253,-0.010982317212980597,-8.123808421524293
NYSE,C,-0.10218598297914923,0.40465356886482956,-0.0014476989457854472,-14.051982422066231
NYSE,D,-0.10173650506170831,-0.004496547368869183,-0.1990859201866602,3.088431057783094
NASDAQ,A,-0.0949590418714515,0.09798118926761573,-0.0036323453782130324,-14.212480886318666
NASDAQ,B,-0.11822118087504432,-0.0003640119634427813,-0.010876144960309753,-11.227796936393815
NASDAQ,C,-0.10555518746988803,0.5166675529887458,-0.0014470780791511206,-16.25113832616156
NASDAQ,D,-0.10199549880872308,0.0009178063449908121,-0.20316660985784543,-8.28778706767231
