trade id,trade
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,0
553,1
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,1
597,1
598,0
599,1
600,0
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,1
647,0
648,0
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,0
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,1
698,1
699,0
700,0
701,1
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,0
723,0
724,1
725,1
726,1
727,0
728,0
729,1
730,0
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,0
746,1
747,0
748,1
749,1
750,0
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,0
780,1
781,0
782,0
783,0
784,1
785,1
786,0
787,1
788,1
789,1
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,0
800,0
801,1
802,1
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,0
